Years on Court,Status,Presidential Term,Court Conservatives,Court Moderates,Court Liberals,Age Ratio,Appointing President Party_Republican,President Party_Republican,Ideology_Liberal,Ideology_Moderate,House Control_Republican,Senate Control_Republican,Election Year Type_Non-Election Year,Election Year Type_Presidential Election,Ideology Alignment_Neutral,Ideology Alignment_Opposing
12,0,1,3,5,1,1.4164904862579282,False,True,False,False,True,True,False,True,False,False
23,0,1,3,5,1,1.4164904862579282,True,True,True,False,True,True,False,True,False,True
18,0,1,3,5,1,1.5221987315010572,True,True,False,True,True,True,False,True,True,False
10,0,1,3,5,1,1.331923890063425,True,True,False,False,True,True,False,True,False,False
9,0,1,3,5,1,1.3530655391120507,True,True,False,True,True,True,False,True,True,False
8,0,1,3,5,1,1.437632135306554,True,True,False,True,True,True,False,True,True,False
6,0,1,3,5,1,1.1627906976744187,False,True,False,True,True,True,False,True,True,False
4,0,1,3,5,1,1.3107822410147993,False,True,False,False,True,True,False,True,False,False
2,0,1,3,5,1,1.2050739957716703,True,True,False,True,True,True,False,True,True,False
13,0,2,3,5,1,1.4273719563392107,False,True,False,False,True,True,True,False,False,False
24,0,2,3,5,1,1.4273719563392107,True,True,True,False,True,True,True,False,False,True
19,0,2,3,5,1,1.5323257766582703,True,True,False,True,True,True,True,False,True,False
11,0,2,3,5,1,1.343408900083963,True,True,False,False,True,True,True,False,False,False
10,0,2,3,5,1,1.364399664147775,True,True,False,True,True,True,True,False,True,False
9,0,2,3,5,1,1.4483627204030227,True,True,False,True,True,True,True,False,True,False
7,0,2,3,5,1,1.1754827875734677,False,True,False,True,True,True,True,False,True,False
5,0,2,3,5,1,1.322418136020151,False,True,False,False,True,True,True,False,False,False
3,0,2,3,5,1,1.2174643157010916,True,True,False,True,True,True,True,False,True,False
14,0,1,3,5,2,1.4380992080033348,False,True,False,False,True,True,False,False,False,False
25,0,1,3,5,2,1.4380992080033348,True,True,True,False,True,True,False,False,False,True
20,1,1,3,5,2,1.5423092955398083,True,True,False,True,True,True,False,False,True,False
12,0,1,3,5,2,1.354731137974156,True,True,False,False,True,True,False,False,False,False
11,0,1,3,5,2,1.3755731554814508,True,True,False,True,True,True,False,False,True,False
10,0,1,3,5,2,1.4589412255106295,True,True,False,True,True,True,False,False,True,False
8,0,1,3,5,2,1.1879949979157984,False,True,False,True,True,True,False,False,True,False
6,0,1,3,5,2,1.3338891204668613,False,True,False,False,True,True,False,False,False,False
4,0,1,3,5,2,1.2296790329303877,True,True,False,True,True,True,False,False,True,False
0,0,1,3,5,2,1.2713630679449772,True,True,True,False,True,True,False,False,False,True
15,0,1,3,5,2,1.4486754966887416,False,True,False,False,True,True,True,False,False,False
26,0,1,3,5,2,1.4486754966887416,True,True,True,False,True,True,True,False,False,True
13,0,1,3,5,2,1.3658940397350994,True,True,False,False,True,True,True,False,False,False
